"f_stop_max","lens_type","f_stop_min","lens_mount","dp_review_link","focal_length","dp_lens_detail_link","year_released","lens_brand","msrp","msrp__002","lens_name"
"F4","Prime lens","F32","Canon EF, Nikon F (FX), Pentax KAF3, Sony/Minolta Alpha, Sony FE","https://www.dpreview.com/reviews/venus-laowa-15mm-f4-wide-angle-macro-impressions-and-samples","15 ","https://www.dpreview.com/products/venus/lenses/venus_laowa_15mm_4p0_macro","Jun 23, 2015","Venus Optics","484.98 ","495.00","Venus Laowa 15mm F4 1:1 Macro"
"F2.8","Zoom lens","F22","Canon EF-S, Nikon F (DX)","null","11–20 ","https://www.dpreview.com/products/tokina/lenses/tokina_at-x_11-20_2p8_pro_dx","","Tokina","","","Tokina ATR-X Pro 11-20mm F2.8 DX"
"F2.8","Prime lens","F32","Canon EF, Nikon F (FX)","null","100 ","https://www.dpreview.com/products/tokina/lenses/tokina_atx_100_2p8_macro","","Tokina","390.00","","Tokina AT-X Pro 100mm f/2.8 Macro"
"F4","Zoom lens","F22","Canon EF-S, Nikon F (DX)","null","12–24 ","https://www.dpreview.com/products/tokina/lenses/tokina_12-24_4_ii","","Tokina","529.95","","Tokina AT-X Pro 12-24mm f/4 DX II"
"F4","Zoom lens","F22","Canon EF-S, Nikon F (DX)","https://www.dpreview.com/reviews/tokina-12-24-4-n15","12–24 ","https://www.dpreview.com/products/tokina/lenses/tokina_12-24_4","","Tokina","","","Tokina AT-X Pro 12-24mm f/4 (IF) DX"
"F2.8","Zoom lens","F22","Canon EF-S, Nikon F (DX), Sony/Minolta Alpha","null","11–16 ","https://www.dpreview.com/products/tokina/lenses/tokina_atx_11-16_2p8_ii","Jun 25, 2012","Tokina","468.29","","Tokina AT-X Pro 11-16mm f/2.8 DX II"
"F2.8","Zoom lens","F32","Canon EF-S, Nikon F (DX)","null","50–135 ","https://www.dpreview.com/products/tokina/lenses/tokina_atx_50-135_2p8","","Tokina","","","Tokina AT-X Pro 50-135mm f/2.8 DX"
"F4","Zoom lens","F22","Nikon F (FX)","null","70–200 ","https://www.dpreview.com/products/tokina/lenses/tokina_70-200_4","May 16, 2014","Tokina","836.89 ","933.24","Tokina AT-X 70-200mm F4 PRO FX VCM-S"
"F4.5–5.6","Zoom lens","F32","Canon EF, Nikon F (FX)","null","80–400 ","https://www.dpreview.com/products/tokina/lenses/tokina_atx_80-400_4p5-5p6","","Tokina","486.03 ","886.25","Tokina AT-X 80-400mm f/4.5-5.6"
"F2.8","Zoom lens","F22","Canon EF-S, Nikon F (DX)","null","11–16 ","https://www.dpreview.com/products/tokina/lenses/tokina_atx_11-16_2p8","","Tokina","500.00 ","1,084.03","Tokina AT-X Pro 11-16mm f/2.8 DX"
"F3.5–5.6","Zoom lens","F22–36","Canon EF-S, Nikon F (DX)","null","17–135 ","https://www.dpreview.com/products/tokina/lenses/tokina_16p5-136_3p5-5p6","Mar 23, 2009","Tokina","439.08 ","533.97","Tokina AT-X 16.5-135mm f/3.5-5.6 DX"
